id;nome_municipio;populacao
201; 'União dos Palmares;2709301
202; 'Viçosa;2709400
203; 'Amapá;1600105
204; 'Calçoene;1600204
205; 'Cutias';1600212
206; 'Ferreira Gomes';1600238
207; 'Itaubal';1600253
208; 'Laranjal do Jari';1600279
209; 'Macapá;1600303
210; 'Mazagão;1600402
211; 'Oiapoque';1600501
212; 'Pedra Branca do Amaparí;1600154
213; 'Porto Grande';1600535
214; 'Pracuúba;1600550
215; 'Santana';1600600
216; 'Serra do Navio';1600055
217; 'Tartarugalzinho';1600709
218; 'Vitória do Jari;1600808
219; 'Alvarães;1300029
220; 'Amaturá;1300060
221; 'Anamã;1300086
222; 'Anori';1300102
223; 'Apuí;1300144
224; 'Atalaia do Norte';1300201
225; 'Autazes';1300300
226; 'Barcelos';1300409
227; 'Barreirinha';1300508
228; 'Benjamin Constant';1300607
229; 'Beruri';1300631
230; 'Boa Vista do Ramos';1300680
231; 'Boca do Acre';1300706
232; 'Borba';1300805
233; 'Caapiranga';1300839
234; 'Canutama';1300904
235; 'Carauari';1301001
236; 'Careiro';1301100
237; 'Careiro da Várzea;1301159
238; 'Coari';1301209
239; 'Codajás;1301308
240; 'Eirunepé;1301407
241; 'Envira';1301506
242; 'Fonte Boa';1301605
243; 'Guajará;1301654
244; 'Humaitá;1301704
245; 'Ipixuna';1301803
246; 'Iranduba';1301852
247; 'Itacoatiara';1301902
248; 'Itamarati';1301951
249; 'Itapiranga';1302009
250; 'Japurá;1302108
251; 'Juruá;1302207
252; 'Jutaí;1302306
253; 'Lábrea;1302405
254; 'Manacapuru';1302504
255; 'Manaquiri';1302553
256; 'Manaus';1302603
257; 'Manicoré;1302702
258; 'Maraã;1302801
259; 'Maués;1302900
260; 'Nhamundá;1303007
261; 'Nova Olinda do Norte';1303106
262; 'Novo Airão;1303205
263; 'Novo Aripuanã;1303304
264; 'Parintins';1303403
265; 'Pauini';1303502
266; 'Presidente Figueiredo';1303536
267; 'Rio Preto da Eva';1303569
268; 'Santa Isabel do Rio Negro';1303601
269; 'Santo Antônio do Iç;1303700
270; 'São Gabriel da Cachoeira;1303809
271; 'São Paulo de Olivenç;1303908
272; 'São Sebastião do Uatum;1303957
273; 'Silves';1304005
274; 'Tabatinga';1304062
275; 'Tapauá;1304104
276; 'Tefé;1304203
277; 'Tonantins';1304237
278; 'Uarini';1304260
279; 'Urucará;1304302
280; 'Urucurituba';1304401
281; 'Abaíra;2900108
282; 'Abaré;2900207
283; 'Acajutiba';2900306
284; 'Adustina';2900355
285; 'Água Fria;2900405
286; 'Aiquara';2900603
287; 'Alagoinhas';2900702
288; 'Alcobaça;2900801
289; 'Almadina';2900900
290; 'Amargosa';2901007
291; 'Amélia Rodrigues;2901106
292; 'América Dourada;2901155
293; 'Anagé;2901205
294; 'Andaraí;2901304
295; 'Andorinha';2901353
296; 'Angical';2901403
297; 'Anguera';2901502
298; 'Antas';2901601
299; 'Antônio Cardoso;2901700
300; 'Antônio Gonçalve;2901809
301; 'Aporá;2901908
302; 'Apuarema';2901957
303; 'Araças;2902054
304; 'Aracatu';2902005
305; 'Araci';2902104
306; 'Aramari';2902203
307; 'Arataca';2902252
308; 'Aratuípe;2902302
309; 'Aurelino Leal';2902401
310; 'Baianópolis;2902500
311; 'Baixa Grande';2902609
312; 'Banzaê;2902658
313; 'Barra';2902708
314; 'Barra da Estiva';2902807
315; 'Barra do Choça;2902906
316; 'Barra do Mendes';2903003
317; 'Barra do Rocha';2903102
318; 'Barreiras';2903201
319; 'Barro Alto';2903235
320; 'Barro Preto antigo Gov. Lomanto Jr.';2903300
321; 'Barrocas';2903276
322; 'Belmonte';2903409
323; 'Belo Campo';2903508
324; 'Biritinga';2903607
325; 'Boa Nova';2903706
326; 'Boa Vista do Tupim';2903805
327; 'Bom Jesus da Lapa';2903904
328; 'Bom Jesus da Serra';2903953
329; 'Boninal';2904001
330; 'Bonito';2904050
331; 'Boquira';2904100
332; 'Botuporã;2904209
333; 'Brejões;2904308
334; 'Brejolândia;2904407
335; 'Brotas de Macaúbas;2904506
336; 'Brumado';2904605
337; 'Buerarema';2904704
338; 'Buritirama';2904753
339; 'Caatiba';2904803
340; 'Cabaceiras do Paraguaçu;2904852
341; 'Cachoeira';2904902
342; 'Caculé;2905008
343; 'Caém;2905107
344; 'Caetanos';2905156
345; 'Caetité;2905206
346; 'Cafarnaum';2905305
347; 'Cairu';2905404
348; 'Caldeirão Grande;2905503
349; 'Camacan';2905602
350; 'Camaçari;2905701
351; 'Camamu';2905800
352; 'Campo Alegre de Lourdes';2905909
353; 'Campo Formoso';2906006
354; 'Canápolis;2906105
355; 'Canarana';2906204
356; 'Canavieiras';2906303
357; 'Candeal';2906402
358; 'Candeias';2906501
359; 'Candiba';2906600
360; 'Cândido Sales;2906709
361; 'Cansançã;2906808
362; 'Canudos';2906824
363; 'Capela do Alto Alegre';2906857
364; 'Capim Grosso';2906873
365; 'Caraíbas;2906899
366; 'Caravelas';2906907
367; 'Cardeal da Silva';2907004
368; 'Carinhanha';2907103
369; 'Casa Nova';2907202
370; 'Castro Alves';2907301
371; 'Catolândia;2907400
372; 'Catu';2907509
373; 'Caturama';2907558
374; 'Central';2907608
375; 'Chorrochó;2907707
376; 'Cícero Dantas;2907806
377; 'Cipó;2907905
378; 'Coaraci';2908002
379; 'Cocos';2908101
380; 'Conceição da Feir;2908200
381; 'Conceição do Almeid;2908309
382; 'Conceição do Coit;2908408
383; 'Conceição do Jacuí;2908507
384; 'Conde';2908606
385; 'Condeúba;2908705
386; 'Contendas do Sincorá;2908804
387; 'Coração de Mari;2908903
388; 'Cordeiros';2909000
389; 'Coribe';2909109
390; 'Coronel João S�;2909208
391; 'Correntina';2909307
392; 'Cotegipe';2909406
393; 'Cravolândia;2909505
394; 'Crisópolis;2909604
395; 'Cristópolis;2909703
396; 'Cruz das Almas';2909802
397; 'Curaç�;2909901
398; 'Dário Meira;2910008
399; 'Dias d`Ávila;2910057
400; 'Dom Basílio;2910107
401; 'Dom Macedo Costa';2910206
402; 'Elísio Medrado;2910305
403; 'Encruzilhada';2910404
404; 'Entre Rios';2910503
405; 'Érico Cardoso;2900504
406; 'Esplanada';2910602
407; 'Euclides da Cunha';2910701
408; 'Eunápolis;2910727
409; 'Fátima;2910750
410; 'Feira da Mata';2910776
411; 'Feira de Santana';2910800
412; 'Filadélfia;2910859
413; 'Firmino Alves';2910909
414; 'Floresta Azul';2911006
415; 'Formosa do Rio Preto';2911105
416; 'Gandu';2911204
417; 'Gavião;2911253
418; 'Gentio do Ouro';2911303
419; 'Glória;2911402
420; 'Gongogi';2911501
421; 'Governador Mangabeira';2911600
422; 'Guajeru';2911659
423; 'Guanambi';2911709
424; 'Guaratinga';2911808
425; 'Heliópolis;2911857
426; 'Iaçu;2911907
427; 'Ibiassucê;2912004
428; 'Ibicaraí;2912103
429; 'Ibicoara';2912202
430; 'Ibicuí;2912301
431; 'Ibipeba';2912400
432; 'Ibipitanga';2912509
433; 'Ibiquera';2912608
434; 'Ibirapitanga';2912707
435; 'Ibirapuã;2912806
436; 'Ibirataia';2912905
437; 'Ibitiara';2913002
438; 'Ibititá;2913101
439; 'Ibotirama';2913200
440; 'Ichu';2913309
441; 'Igaporã;2913408
442; 'Igrapiúna;2913457
443; 'Iguaí;2913507
444; 'Ilhéus;2913606
445; 'Inhambupe';2913705
446; 'Ipecaetá;2913804
447; 'Ipiaú;2913903
448; 'Ipirá;2914000
449; 'Ipupiara';2914109
450; 'Irajuba';2914208
451; 'Iramaia';2914307
452; 'Iraquara';2914406
453; 'Irará;2914505
454; 'Irecê;2914604
455; 'Itabela';2914653
456; 'Itaberaba';2914703
457; 'Itabuna';2914802
458; 'Itacaré;2914901
459; 'Itaeté;2915007
460; 'Itagi';2915106
461; 'Itagibá;2915205
462; 'Itagimirim';2915304
463; 'Itaguaçu da Bahia;2915353
464; 'Itaju do Colônia;2915403
465; 'Itajuípe;2915502
466; 'Itamaraju';2915601
467; 'Itamari';2915700
468; 'Itambé;2915809
469; 'Itanagra';2915908
470; 'Itanhém;2916005
471; 'Itaparica';2916104
472; 'Itapé;2916203
473; 'Itapebi';2916302
474; 'Itapetinga';2916401
475; 'Itapicuru';2916500
476; 'Itapitanga';2916609
477; 'Itaquara';2916708
478; 'Itarantim';2916807
479; 'Itatim';2916856
480; 'Itiruçu;2916906
481; 'Itiúba;2917003
482; 'Itororó;2917102
483; 'Ituaçu;2917201
484; 'Ituberá;2917300
485; 'Iuiú;2917334
486; 'Jaborandi';2917359
487; 'Jacaraci';2917409
488; 'Jacobina';2917508
489; 'Jaguaquara';2917607
490; 'Jaguarari';2917706
491; 'Jaguaripe';2917805
492; 'Jandaíra;2917904
493; 'Jequié;2918001
494; 'Jeremoabo';2918100
495; 'Jiquiriç�;2918209
496; 'Jitaúna;2918308
497; 'João Dourado;2918357
498; 'Juazeiro';2918407
499; 'Jucuruçu;2918456
500; 'Jussara';2918506
501; 'Jussari';2918555
502; 'Jussiape';2918605
503; 'Lafaiete Coutinho';2918704
504; 'Lagoa Real';2918753
505; 'Laje';2918803
506; 'Lajedão;2918902
507; 'Lajedinho';2919009
508; 'Lajedo do Tabocal';2919058
509; 'Lamarão;2919108
510; 'Lapão;2919157
511; 'Lauro de Freitas';2919207
512; 'Lençói;2919306
513; 'Licínio de Almeida;2919405
514; 'Livramento de Nossa Senhora';2919504
515; 'Luís Eduardo Magalhãe;2919553
516; 'Macajuba';2919603
517; 'Macarani';2919702
518; 'Macaúbas;2919801
519; 'Macururé;2919900
520; 'Madre de Deus';2919926
521; 'Maetinga';2919959
522; 'Maiquinique';2920007
523; 'Mairi';2920106
524; 'Malhada';2920205
525; 'Malhada de Pedras';2920304
526; 'Manoel Vitorino';2920403
527; 'Mansidão;2920452
528; 'Maracás;2920502
529; 'Maragogipe';2920601
530; 'Maraú;2920700
531; 'Marcionílio Souza;2920809
532; 'Mascote';2920908
533; 'Mata de São Joã;2921005
534; 'Matina';2921054
535; 'Medeiros Neto';2921104
536; 'Miguel Calmon';2921203
537; 'Milagres';2921302
538; 'Mirangaba';2921401
539; 'Mirante';2921450
540; 'Monte Santo';2921500
541; 'Morpará;2921609
542; 'Morro do Chapéu;2921708
543; 'Mortugaba';2921807
544; 'Mucugê;2921906
545; 'Mucuri';2922003
546; 'Mulungu do Morro';2922052
547; 'Mundo Novo';2922102
548; 'Muniz Ferreira';2922201
549; 'Muquém de São Francisc;2922250
550; 'Muritiba';2922300
551; 'Mutuípe;2922409
552; 'Nazaré;2922508
553; 'Nilo Peçanha;2922607
554; 'Nordestina';2922656
555; 'Nova Canaã;2922706
556; 'Nova Fátima;2922730
557; 'Nova Ibiá;2922755
558; 'Nova Itarana';2922805
559; 'Nova Redençã;2922854
560; 'Nova Soure';2922904
561; 'Nova Viçosa;2923001
562; 'Novo Horizonte';2923035
563; 'Novo Triunfo';2923050
564; 'Olindina';2923100
565; 'Oliveira dos Brejinhos';2923209
566; 'Ouriçangas;2923308
567; 'Ourolândia;2923357
568; 'Palmas de Monte Alto';2923407
569; 'Palmeiras';2923506
570; 'Paramirim';2923605
571; 'Paratinga';2923704
572; 'Paripiranga';2923803
573; 'Pau Brasil';2923902
574; 'Paulo Afonso';2924009
575; 'Pé de Serra;2924058
576; 'Pedrão;2924108
577; 'Pedro Alexandre';2924207
578; 'Piatã;2924306
579; 'Pilão Arcado;2924405
580; 'Pindaí;2924504
581; 'Pindobaçu;2924603
582; 'Pintadas';2924652
583; 'Piraí do Norte;2924678
584; 'Piripá;2924702
585; 'Piritiba';2924801
586; 'Planaltino';2924900
587; 'Planalto';2925006
588; 'Poçõe;2925105
589; 'Pojuca';2925204
590; 'Ponto Novo';2925253
591; 'Porto Seguro';2925303
592; 'Potiraguá;2925402
593; 'Prado';2925501
594; 'Presidente Dutra';2925600
595; 'Presidente Jânio Quadros;2925709
596; 'Presidente Tancredo Neves';2925758
597; 'Queimadas';2925808
598; 'Quijingue';2925907
599; 'Quixabeira';2925931
600; 'Rafael Jambeiro';2925956
601; 'Remanso';2926004
602; 'Retirolândia;2926103
603; 'Riachão das Neves;2926202
604; 'Riachão do Jacuíp;2926301
605; 'Riacho de Santana';2926400
606; 'Ribeira do Amparo';2926509
607; 'Ribeira do Pombal';2926608
608; 'Ribeirão do Largo;2926657
609; 'Rio de Contas';2926707
610; 'Rio do Antônio;2926806
611; 'Rio do Pires';2926905
612; 'Rio Real';2927002
613; 'Rodelas';2927101
614; 'Ruy Barbosa';2927200
615; 'Salinas da Margarida';2927309
616; 'Salvador';2927408
617; 'Santa Bárbara;2927507
618; 'Santa Brígida;2927606
619; 'Santa Cruz Cabrália;2927705
620; 'Santa Cruz da Vitória;2927804
621; 'Santa Inês;2927903
622; 'Santa Luzia';2928059
623; 'Santa Maria da Vitória;2928109
624; 'Santa Rita de Cássia;2928406
625; 'Santa Teresinha';2928505
626; 'Santaluz';2928000
627; 'Santana';2928208
628; 'Santanópolis;2928307
629; 'Santo Amaro';2928604
630; 'Santo Antônio de Jesus;2928703
631; 'Santo Estêvã;2928802
632; 'São Desidéri;2928901
633; 'São Domingos;2928950
634; 'São Felipe;2929107
635; 'São Féli;2929008
636; 'São Félix do Corib;2929057
637; 'São Francisco do Conde;2929206
638; 'São Gabriel;2929255
639; 'São Gonçalo dos Campo;2929305
640; 'São José da Vitór;2929354
641; 'São José do Jacuí;2929370
642; 'São Miguel das Matas;2929404
643; 'São Sebastião do Pass;2929503
644; 'Sapeaçu;2929602
645; 'Sátiro Dias;2929701
646; 'Saubara';2929750
647; 'Saúde;2929800
648; 'Seabra';2929909
649; 'Sebastião Laranjeiras;2930006
650; 'Senhor do Bonfim';2930105
651; 'Sento Sé;2930204
652; 'Serra do Ramalho';2930154
653; 'Serra Dourada';2930303
654; 'Serra Preta';2930402
655; 'Serrinha';2930501
656; 'Serrolândia;2930600
657; 'Simões Filho;2930709
658; 'Sítio do Mato;2930758
659; 'Sítio do Quinto;2930766
660; 'Sobradinho';2930774
661; 'Souto Soares';2930808
662; 'Tabocas do Brejo Velho';2930907
663; 'Tanhaçu;2931004
664; 'Tanque Novo';2931053
665; 'Tanquinho';2931103
666; 'Taperoá;2931202
667; 'Tapiramutá;2931301
668; 'Teixeira de Freitas';2931350
669; 'Teodoro Sampaio';2931400
670; 'Teofilândia;2931509
671; 'Teolândia;2931608
672; 'Terra Nova';2931707
673; 'Tremedal';2931806
674; 'Tucano';2931905
675; 'Uauá;2932002
676; 'Ubaíra;2932101
677; 'Ubaitaba';2932200
678; 'Ubatã;2932309
679; 'Uibaí;2932408
680; 'Umburanas';2932457
681; 'Una';2932507
682; 'Urandi';2932606
683; 'Uruçuca;2932705
684; 'Utinga';2932804
685; 'Valença;2932903
686; 'Valente';2933000
687; 'Várzea da Roç;2933059
688; 'Várzea do Poç;2933109
689; 'Várzea Nova;2933158
690; 'Varzedo';2933174
691; 'Vera Cruz';2933208
692; 'Vereda';2933257
693; 'Vitória da Conquista;2933307
694; 'Wagner';2933406
695; 'Wanderley';2933455
696; 'Wenceslau Guimarães;2933505
697; 'Xique-Xique';2933604
698; 'Abaiara';2300101
699; 'Acarape';2300150
700; 'Acaraú;2300200
701; 'Acopiara';2300309
702; 'Aiuaba';2300408
703; 'Alcântaras;2300507
704; 'Altaneira';2300606
705; 'Alto Santo';2300705
706; 'Amontada';2300754
707; 'Antonina do Norte';2300804
708; 'Apuiarés;2300903
709; 'Aquiraz';2301000
710; 'Aracati';2301109
711; 'Aracoiaba';2301208
712; 'Ararendá;2301257
713; 'Araripe';2301307
714; 'Aratuba';2301406
715; 'Arneiroz';2301505
716; 'Assaré;2301604
717; 'Aurora';2301703
718; 'Baixio';2301802
719; 'Banabuiú;2301851
720; 'Barbalha';2301901
721; 'Barreira';2301950
722; 'Barro';2302008
723; 'Barroquinha';2302057
724; 'Baturité;2302107
725; 'Beberibe';2302206
726; 'Bela Cruz';2302305
727; 'Boa Viagem';2302404
728; 'Brejo Santo';2302503
729; 'Camocim';2302602
730; 'Campos Sales';2302701
731; 'Canindé;2302800
732; 'Capistrano';2302909
733; 'Caridade';2303006
734; 'Cariré;2303105
735; 'Caririaçu;2303204
736; 'Cariús;2303303
737; 'Carnaubal';2303402
738; 'Cascavel';2303501
739; 'Catarina';2303600
740; 'Catunda';2303659
741; 'Caucaia';2303709
742; 'Cedro';2303808
743; 'Chaval';2303907
744; 'Choró;2303931
